number of elments,reverse,almost sorted,shuffed,sorted
2,1.1370999999996134e-05,0.00011434999999999917,3.5460000000001046e-05,5.619999999997849e-06
3,3.946999999999978e-05,7.061999999999347e-05,6.834900000000921e-05,7.501000000006974e-06
4,7.479999999999987e-05,0.00012569000000001163,0.00010345900000000019,9.880000000003775e-06
5,0.00014406999999999615,0.0001551710000000095,0.0001437809999999956,1.1639999999993322e-05
6,0.0001567309999999933,0.00018216000000000065,0.00020648000000000888,1.3509000000008764e-05
7,0.00018133000000000732,0.0002892599999999995,0.0002143299999999987,1.502999999999921e-05
8,0.00024639999999999385,0.00027749000000000523,0.0002749799999999941,1.72210000000117e-05
9,0.0002883310000000028,0.0006037299999999968,0.0002866100000000066,1.6591000000010236e-05
10,0.00027953099999999953,0.00037798,0.00032928000000000124,1.8719999999999848e-05
11,0.00033026900000000803,0.0004482199999999992,0.0003998199999999952,2.289999999999237e-05
12,0.0005281399999999964,0.0006586300000000073,0.0007100959999999934,2.367000000000341e-05
13,0.0004323399999999894,0.0004585509999999876,0.00045597,2.3540000000002448e-05
14,0.00043233000000000854,0.0005006909999999976,0.0005012010000000067,2.6660000000011674e-05
15,0.0006697999999999982,0.0006335100000000038,0.0005985800000000152,2.9410000000007486e-05
16,0.0005787999999999904,0.0006183300000000003,0.0006907699999999795,3.0479999999999396e-05
17,0.0005894610000000133,0.0007441109999999918,0.0006409399999999787,3.112999999999033e-05
18,0.0006227199999999933,0.0007753900000000147,0.0007822419999999886,6.069900000002515e-05
19,0.0006976300000000046,0.0007568709999999923,0.0009195899999999979,3.819999999998824e-05
20,0.0007666209999999951,0.0007319209999999965,0.0007314200000000104,3.090999999999511e-05
21,0.0007877199999999918,0.0009282399999999968,0.0008973910000000251,3.890000000000837e-05
22,0.0012371599999999872,0.001689348999999979,0.001376879999999997,6.199000000001176e-05
23,0.0009303609999999907,0.0009506800000000093,0.0010424089999999941,4.130099999999359e-05
24,0.0008856690000000056,0.0014685799999999971,0.0012483610000000034,0.00011506099999999964
25,0.0009579700000000024,0.001217250000000003,0.0012288200000000193,3.9919999999998845e-05
26,0.0010171910000000006,0.0010212310000000113,0.00097657000000001,4.703000000000346e-05
27,0.0011115109999999817,0.001312031000000019,0.0010733800000000127,4.704900000002121e-05
28,0.0012831609999999771,0.0013431590000000104,0.0011803199999999847,5.2999999999997494e-05
29,0.0011531999999999931,0.0013840709999999867,0.0012898900000000157,5.210099999999884e-05
30,0.0013388109999999953,0.0017713189999999934,0.0013352399999999875,6.0531000000002555e-05
31,0.0014344500000000038,0.0014293800000000079,0.0013037310000000024,5.7520000000005345e-05
32,0.0017295589999999916,0.001893529000000005,0.001344500999999998,5.485999999998992e-05
