number of elments,reverse,almost sorted,shuffed,sorted
2,2.9261000000002646e-05,3.388000000000002e-05,3.1220999999997945e-05,3.015000000000656e-05
3,7.255999999999929e-05,9.440000000000837e-05,6.1018999999995494e-05,5.612000000000672e-05
4,9.669000000001038e-05,9.28690000000093e-05,9.031999999999096e-05,8.84500000000038e-05
5,0.00013071100000000557,0.0001450900000000005,0.00015217999999998788,0.0001413799999999965
6,0.00017527999999999988,0.00021430999999999534,0.0002912500000000068,0.00038422099999999015
7,0.0002283599999999969,0.00022026999999999464,0.00019874999999999754,0.0003348190000000001
8,0.0002796899999999991,0.0002540000000000042,0.0004326010000000047,0.0002884700000000129
9,0.0002785800000000005,0.00030085899999998666,0.0003566210000000014,0.00024388899999999714
10,0.00036216099999999973,0.00036581999999998893,0.00033536100000000624,0.0003456820000000138
11,0.00040936000000002526,0.00036306099999999786,0.0003648799999999841,0.0003395099999999873
12,0.0004513009999999873,0.0004670610000000186,0.000425150000000013,0.000403131000000001
13,0.0004754120000000084,0.0005570209999999909,0.0004769389999999818,0.0005686899999999828
14,0.0004977399999999965,0.0004936200000000002,0.0005130200000000029,0.0004948700000000084
15,0.0005515409999999887,0.0005784709999999971,0.0005669910000000167,0.0005350299999999919
16,0.0005995209999999918,0.0007463720000000229,0.0006381109999999968,0.0005973199999999845
17,0.0006180700000000261,0.0006261400000000528,0.0006494209999999834,0.0006671000000000316
18,0.0006976000000000204,0.0007426110000000041,0.000649519999999959,0.0007072000000000189
19,0.0007554000000000172,0.0006750810000000218,0.0006732500000000141,0.000696780000000008
20,0.0007423899999999817,0.0007487299999999752,0.0008292799999999878,0.0007717400000000207
21,0.0008347789999999522,0.0008423300000000022,0.0009012009999999626,0.0008112910000000473
22,0.0008413600000000132,0.000881719000000003,0.0008528299999999711,0.00082115100000002
23,0.0008307909999999974,0.0009163010000000082,0.0008730900000000208,0.000849100000000047
24,0.000895519999999983,0.000932699999999953,0.0009846609999999978,0.0008722609999999853
25,0.0009645400000000137,0.0009840700000000036,0.0010105400000000042,0.0009541609999999534
26,0.0010349109999999717,0.0010703610000000197,0.001071831000000023,0.0010336799999999813
