number of elments,reverse,almost sorted,shuffed,sorted
2,5.225999999999842e-05,3.7340999999996294e-05,3.2640000000000446e-05,3.3081000000004246e-05
3,9.514099999999304e-05,4.4760000000004796e-05,7.038099999999436e-05,6.901000000000823e-05
4,9.910999999999948e-05,9.184999999999055e-05,7.279999999999787e-05,0.00010550100000000784
5,0.00014999999999999736,0.00016170000000000073,0.00015944000000001068,0.00015707000000000915
6,0.0002079699999999879,0.00016279999999999073,0.000142879999999998,0.00019689999999999985
7,0.00025406999999999513,0.00016946100000000963,0.00016861099999999907,0.000481460000000003
8,0.000339969999999995,0.00018624999999999892,0.00020235000000000392,0.00031375999999999626
9,0.0003841009999999978,0.00027444999999999553,0.00044777999999999485,0.0003761699999999951
10,0.0004980890000000071,0.0003233409999999909,0.00036880100000000193,0.00046768999999999283
