number of elments,reverse,almost sorted,shuffed,sorted
2,3.5599999999996745e-06,6.249999999999312e-06,2.7159999999998297e-05,5.650000000009814e-06
3,2.2750000000001935e-05,6.190899999999888e-05,3.432000000000435e-05,6.459999999999799e-06
4,7.801000000000335e-05,4.8258999999994945e-05,0.000225679999999992,8.66000000000755e-06
5,0.00015659999999999286,0.00025471999999999995,0.00023834999999999829,1.0550999999997535e-05
6,0.00027805999999999664,0.0003092799999999951,0.0003432499999999894,1.222899999998861e-05
7,0.00042410999999999144,0.0003994100000000028,0.0003787809999999947,1.3848999999996336e-05
8,0.0007058689999999979,0.0007194100000000037,0.0001513800000000065,1.6660000000001673e-05
9,0.0009149999999999991,0.0008275499999999825,0.0009521010000000107,1.885999999998167e-05
10,0.0011996310000000066,0.0006962600000000041,0.0007566199999999856,2.6220999999992944e-05
11,0.0016591609999999923,0.0013440409999999903,0.0009619110000000097,2.33200000000211e-05
12,0.002070242,0.0015288609999999925,0.0012832200000000016,3.327099999997363e-05
13,0.0024831820000000004,0.0022528709999999896,0.0017834899999999987,2.0560000000002798e-05
14,0.0030623409999999684,0.0024149210000000143,0.0021335399999999893,4.308899999999616e-05
15,0.0033992719999999532,0.0031134090000000114,0.0037709229999999816,2.82990000000094e-05
16,0.004277522000000034,0.0027231910000000137,0.002853380999999988,2.5119999999989595e-05
17,0.00517319300000002,0.0037480419999999515,0.0039464219999999495,3.096999999996353e-05
18,0.005926494000000004,0.003470140999999982,0.004603921999999927,3.3620000000067485e-05
19,0.006516434000000015,0.004547073999999984,0.005695241999999934,3.35200000000091e-05
20,0.007808864999999998,0.0063479229999999776,0.006166072999999939,4.00299999999687e-05
21,0.009069964000000041,0.008424834000000048,0.006210802999999987,3.842000000009449e-05
22,0.011218986000000042,0.00761579400000012,0.007008813000000114,0.0001539110000001731
23,0.011613003999999982,0.00929872399999998,0.009046534000000106,4.036000000007256e-05
24,0.013768745000000138,0.0080807249999999,0.012216354999999846,6.298899999990226e-05
25,0.014448687000000016,0.0067926940000000435,0.010931804999999795,4.5300000000025875e-05
26,0.01674892799999994,0.014052136000000104,0.015962217,4.5029999999890435e-05
27,0.018777107999999876,0.01211076599999994,0.01219617499999992,4.967999999982986e-05
28,0.020280450000000005,0.01793127700000019,0.01585023699999999,4.311000000001286e-05
29,0.023679721999999792,0.020727128999999955,0.0198268180000003,5.348900000035073e-05
30,0.02613166199999961,0.024933499999999942,0.018217971000000333,5.415999999991428e-05
31,0.028386213999999743,0.023017711000000052,0.021292120000000025,6.746000000035224e-05
32,0.029149122999999832,0.01731329799999992,0.022886010000000123,5.468999999980184e-05
33,0.03237212400000011,0.026626189999999994,0.024425588999999803,5.41890000000933e-05
34,0.035640055000000004,0.03386293500000015,0.02357356200000016,5.23389999997903e-05
35,0.04006375700000042,0.024877141000000158,0.0321531549999996,6.228999999979834e-05
36,0.040932617999999366,0.029116053000000086,0.03283898599999979,5.889100000011638e-05
37,0.04711869199999974,0.03423665500000084,0.03286773399999987,6.472000000012912e-05
38,0.04928749200000038,0.03338733400000038,0.044670111999999484,6.802999999955262e-05
39,0.052596162999999585,0.037743754000000074,0.03742491700000006,5.930999999925746e-05
40,0.055954685999999754,0.04046196799999979,0.04419494899999954,6.196000000002755e-05
41,0.06219635200000084,0.04541574000000104,0.04085047000000053,7.207999999891967e-05
42,0.06298454900000117,0.050271844000000954,0.05396853500000098,7.030999999990684e-05
43,0.06989825999999866,0.04583613199999981,0.05948542500000009,6.566900000137821e-05
44,0.07436172300000088,0.047491421000000145,0.06397439100000035,8.693999999920266e-05
45,0.07766787999999991,0.05328455399999932,0.05681342399999956,7.225999999960209e-05
46,0.08949789499999916,0.06104030699999896,0.06161859400000047,8.150899999925798e-05
47,0.09357806599999918,0.0655140309999993,0.07491889699999987,7.759000000007177e-05
48,0.0997831369999993,0.06703124199999877,0.08789175900000146,8.495999999880155e-05
49,0.10567145999999994,0.053647643000001466,0.09054083200000207,8.318000000073766e-05
