number of elments,reverse,almost sorted,shuffed,sorted
2,2.2460000000001923e-05,
3,1.977100000000176e-05,
4,2.6749999999992058e-05,
5,2.8978999999998423e-05,
6,2.957099999999213e-05,
7,3.2030000000002334e-05,
8,3.3299999999999996e-05,
9,3.546999999999578e-05,
10,3.8850000000006935e-05,
11,4.4381000000009996e-05,
12,4.58000000000125e-05,
13,4.6019999999979966e-05,
14,5.7149000000006334e-05,
15,5.056900000000031e-05,
16,5.3109999999995106e-05,
17,6.349099999999885e-05,
18,6.125900000000795e-05,
19,4.813100000000681e-05,
20,5.8290000000016384e-05,
21,6.56800000000124e-05,
22,5.88590000000222e-05,
23,7.319000000000075e-05,
24,7.719999999999949e-05,
25,7.240999999999498e-05,
