number of elments,reverse,almost sorted,shuffed,sorted
2,2.9110000000082126e-06,5.2610000000063994e-06,1.2650000000002937e-05,4.3599999999949235e-06
3,1.3879999999993897e-05,8.170000000001787e-06,2.6640000000008324e-05,7.018999999997e-06
4,1.8191000000000734e-05,4.619100000000098e-05,5.115099999999928e-05,1.14600000000048e-05
5,3.3650999999995657e-05,4.085999999998979e-05,5.249100000000173e-05,1.083100000000281e-05
6,4.7400000000002995e-05,9.367000000000403e-05,9.795999999999416e-05,1.1759999999999549e-05
7,6.188900000000941e-05,0.00017178900000000552,0.00012038899999999852,2.509900000000065e-05
8,6.852899999999773e-05,0.00014315100000000802,0.00017364999999999742,1.755000000000506e-05
9,9.180000000000299e-05,0.0002086710000000075,0.0002031300000000097,1.6700000000008375e-05
10,0.00010269899999999776,0.00023204999999999754,0.0002455999999999986,2.1549999999995184e-05
11,0.00012871100000000357,0.00022963099999999403,0.00022318899999999864,2.1620999999999446e-05
12,0.00014432999999999807,0.00032573000000002406,0.0003200299999999989,2.6840000000000197e-05
13,0.00017398900000001327,0.0003323000000000076,0.0003572999999999771,2.2359999999999047e-05
14,0.00017986999999999864,0.0003729109999999758,0.0003533500000000023,2.144000000001145e-05
15,0.0002476399999999934,0.0003638600000000214,0.0005154800000000126,3.197999999998702e-05
16,0.00023665100000000439,0.000547141000000001,0.0005167000000000088,3.0599999999991745e-05
17,0.00027683100000000516,0.0005580399999999819,0.0006031310000000067,3.437900000000105e-05
18,0.0002684600000000259,0.0006173299999999993,0.0006031999999999982,3.412999999999333e-05
19,0.0003508200000000017,0.0005861199999999955,0.0006904800000000211,3.2669999999984656e-05
20,0.0003567100000000101,0.0007005499999999942,0.0008054399999999906,5.595999999999379e-05
21,0.00039359999999999395,0.0008362399999999881,0.000886549999999986,4.1179999999974015e-05
22,0.0003891099999999703,0.0007833800000000002,0.0009342500000000253,4.1820000000025725e-05
23,0.00046853000000002254,0.0009067999999999854,0.0009158999999999695,4.2050000000015686e-05
24,0.00048509000000002134,0.00102652999999997,0.0010958799999999935,4.3160000000042054e-05
25,0.0004952300000000132,0.0009676800000000263,0.0011243699999999857,4.402000000003348e-05
26,0.0005012400000000139,0.0010689700000000024,0.0012723499999999777,4.747999999998864e-05
27,0.0005775100000000033,0.0011947100000000432,0.001075629999999994,4.531000000002061e-05
28,0.0006326199999999726,0.0013038900000000297,0.0013738399999999595,5.5790000000000006e-05
29,0.0007011299999999943,0.0014616900000000155,0.0014151800000000159,6.999000000001976e-05
30,0.0007370400000000221,0.0016162800000000255,0.001567969999999974,5.508000000004065e-05
31,0.0007643399999999745,0.0014876300000000175,0.0014701400000000087,5.241000000000273e-05
32,0.000851119999999983,0.0014319400000000204,0.001524890000000001,4.639000000006277e-05
33,0.0009290299999999974,0.001981519999999959,0.0017862299999999998,5.571999999998134e-05
34,0.000914909999999991,0.0018342599999999765,0.0020662699999999257,5.939000000010353e-05
35,0.0009933299999999035,0.0021357800000000315,0.0021703000000000694,6.652000000006986e-05
36,0.0009889499999999884,0.0015573799999999416,0.0016974699999999787,6.044999999998968e-05
37,0.0011112799999999368,0.002382290000000009,0.0024770100000000017,6.609999999995786e-05
38,0.0011645399999999917,0.002127760000000034,0.0022083299999999806,5.894000000006283e-05
39,0.0012401899999999744,0.0024062100000000752,0.0026943999999999857,7.768000000007991e-05
40,0.001277100000000031,0.0028138500000000066,0.0025639800000000212,7.3389999999951e-05
41,0.0013488200000000283,0.002785269999999951,0.0023781800000000075,5.905999999999967e-05
42,0.0014324999999999477,0.002572259999999993,0.002836809999999912,6.147000000000791e-05
43,0.001488260000000019,0.003013239999999917,0.003030959999999916,7.62400000000607e-05
44,0.0015416999999999792,0.0033822300000001526,0.0032561599999998414,8.056999999994652e-05
45,0.0015667999999999793,0.003135759999999932,0.003152019999999922,7.313000000008785e-05
46,0.001708770000000026,0.0031377700000001507,0.0033963699999999264,7.839999999981195e-05
47,0.0017633100000000734,0.003927609999999859,0.0038022300000000175,7.993000000006134e-05
48,0.0017839909999999293,0.0036497999999998143,0.0037453800000000204,8.718100000004725e-05
