number of elments,reverse,almost sorted,shuffed,sorted
2,3.1980000000000897e-05,3.400000000000625e-05,3.1779999999995145e-05,3.2190000000001384e-05
3,8.89500000000043e-05,6.845099999999715e-05,7.843999999999907e-05,6.312999999999458e-05
4,0.00010421999999998821,0.0001457700000000034,0.00015530999999999184,0.00010477999999999876
5,0.00014232000000000133,0.00014046999999998977,0.0001346700000000034,0.00014224100000000128
6,0.00017109000000001262,0.0001721689999999998,0.00016773000000000482,0.0001639400000000013
7,0.00023068999999997786,0.00023209000000001812,0.0002240500000000034,0.00021735999999999978
8,0.00021462099999999817,0.00021171000000000384,0.00028653000000000706,0.00022194999999999854
9,0.00029777100000000223,0.0003138099999999977,0.00030345000000001066,0.0002951509999999935
10,0.0003275199999999978,0.0003477600000000025,0.0003515900000000127,0.0003323000000000076
11,0.00037852999999998804,0.00039004000000000816,0.000473169999999995,0.0003677600000000225
12,0.0004447300000000043,0.00046108999999999734,0.00044194100000000125,0.0003891899999999837
13,0.0004955289999999946,0.00048665000000000513,0.0004916909999999886,0.0004533800000000032
14,0.00048734000000000277,0.0005508599999999864,0.0005645400000000023,0.0005266989999999916
15,0.0006104610000000066,0.0005662099999999837,0.0005082510000000151,0.0006426199999999826
16,0.000770329000000014,0.0006941489999999773,0.0006495100000000198,0.0005834299999999959
17,0.0006447209999999592,0.0006982300000000219,0.0006111710000000214,0.0007375689999999935
18,0.0007006310000000071,0.0007381090000000423,0.0007249899999999809,0.0007048700000000241
19,0.0007844109999999849,0.0006344400000000139,0.0007386100000000284,0.00062276
20,0.0008080000000000309,0.0007097399999999587,0.0007571909999999904,0.0007502409999999848
21,0.0009648320000000266,0.0009577410000000119,0.0008823800000000159,0.0008776710000000243
22,0.001005540000000027,0.0010458410000000473,0.0008705110000000182,0.0008210599999999846
23,0.001021470999999996,0.0013354700000000053,0.001138680000000003,0.0010695219999999894
24,0.0010563690000000014,0.0008133200000000063,0.0008306209999999759,0.0009009810000000229
25,0.0010861719999999964,0.0011846910000000155,0.0012077100000000285,0.001082489999999936
26,0.000999459999999952,0.0011291300000000337,0.001126569999999938,0.0008424000000000209
27,0.0011506909999999815,0.0012657100000000865,0.0012725110000000317,0.0011212910000000242
28,0.0011556600000000028,0.0012672190000000416,0.0011481399999999642,0.0011612799999999313
29,0.0012905889999998976,0.0012464009999999526,0.001212481000000043,0.001204611000000022
30,0.001178852000000008,0.0014389510000000216,0.001351460000000082,0.0012918809999999947
31,0.0013679709999999679,0.0013503400000000054,0.001294149999999994,0.0012354410000000593
32,0.0013977510000000581,0.0015050010000000613,0.0013126989999999727,0.001313200999999986
33,0.0014252100000000656,0.0018294299999999097,0.001597960999999981,0.001436679999999968
34,0.001470250999999978,0.0015069690000000246,0.0014885299999999324,0.0014541110000000357
35,0.0014979910000000318,0.0015193719999999633,0.00158026,0.001495511000000005
36,0.0015896809999998984,0.0016546800000000195,0.0016798100000000593,0.0016320510000000787
37,0.0016429900000000108,0.001758250999999933,0.0017386000000000346,0.0015022199999999986
38,0.0017025120000000449,0.001811419999999897,0.0018404020000000187,0.001962330000000012
39,0.0017947999999998743,0.0018203509999998868,0.0020067809999999575,0.0017135109999999454
40,0.0018673110000000381,0.0026653110000001146,0.0018682209999998367,0.0017958300000000538
41,0.0019657920000000217,0.001810921000000132,0.0018853210000000509,0.00198198000000005
42,0.001854489999999931,0.0017972099999998825,0.0018065119999999268,0.001717462000000003
43,0.0020299809999999585,0.0027303720000000364,0.0025278810000000096,0.001960919000000061
44,0.002246210999999887,0.002305750999999967,0.002348849999999958,0.002114801000000055
45,0.0023860829999999833,0.002418500999999962,0.0022457209999999783,0.002198550999999993
46,0.002362591000000025,0.0026833520000000277,0.0024836610000000814,0.00227822100000008
47,0.0022431099999999926,0.002444729999999895,0.002461483000000042,0.0023512410000001704
48,0.0022694100000000272,0.002543112000000125,0.0024836609999998593,0.0022020209999999985
49,0.002549410999999946,0.002508271000000173,0.0027737789999999762,0.0026783610000000735
50,0.0024246010000001927,0.0026372709999999966,0.00258692100000002,0.002516400999999835
51,0.0025861400000000145,0.002232451000000024,0.0021377209999999813,0.002259889999999931
52,0.0026058319999999746,0.0025897610000000792,0.0026565109999998615,0.0024783219999999773
53,0.0027985419999998484,0.003642829999999986,0.003033262000000203,0.0027826829999999525
54,0.0026764210000000954,0.0029284920000001158,0.002853801999999961,0.0026603410000001215
55,0.002689563000000117,0.0029601310000000325,0.0027678019999997083,0.0025755310000001863
56,0.00266803200000032,0.002797472000000134,0.0026181610000000077,0.0025438310000001074
57,0.002670061999999973,0.002542050999999823,0.0029075020000002283,0.0025895609999997404
58,0.002812240999999993,0.002964749000000211,0.0029221409999999892,0.0029116309999999146
59,0.0028757719999998876,0.002892190999999933,0.0029904410000001214,0.0030147410000003205
60,0.0030991820000001447,0.002933041000000358,0.003233610000000109,0.002991811000000233
61,0.0029402909999998172,0.00310879200000036,0.0030772709999999925,0.003490380000000126
62,0.003065170999999811,0.0031779119999999494,0.0033481819999998663,0.003207013999999564
63,0.0027455309999999677,0.003493841000000053,0.0029143130000002238,0.002803600000000017
64,0.0030905809999999256,0.003601440000000178,0.0032301210000000857,0.0030141109999997084
65,0.0032818210000002956,0.003484890000000185,0.0034634110000002494,0.0032073420000000574
66,0.003357058999999829,0.003396342000000274,0.0034082109999999943,0.0033240409999999443
67,0.0032842209999999206,0.00339456199999999,0.003259390999999834,0.0031542919999996144
68,0.0036596310000001075,0.00393241100000008,0.003934871999999867,0.0040048730000004085
69,0.004136400000000151,0.0038458210000000825,0.0041353630000000585,0.0039032319999998677
70,0.003973253999999926,0.003916161000000251,0.004009012000000034,0.003595081999999916
71,0.003905692000000016,0.0047495710000000635,0.0036467310000003472,0.00356513199999986
72,0.004076201000000168,0.003988222000000263,0.004010141999999828,0.0035363109999999587
73,0.003892361000000122,0.004329841000000112,0.004374751000000288,0.004071059999999793
74,0.004094849999999983,0.004379252000000111,0.003737193000000083,0.0036772819999999484
75,0.0039293319999997856,0.0038286119999999535,0.003872431999999648,0.003606191999999897
76,0.003794440999999704,0.004217131999999957,0.003910272999999798,0.0039447019999996336
77,0.004107451999999956,0.0045357319999999035,0.004160111000000022,0.004009192000000272
78,0.004319874000000112,0.004504502000000521,0.004392430999999419,0.004518451000000034
79,0.0047677029999997345,0.004584970999999882,0.0044115219999998345,0.004307621999999789
80,0.004412811999999988,0.004556962000000553,0.004910082000000315,0.00464007199999994
81,0.004736121999999732,0.00518858199999972,0.005482833000000298,0.004537583000000289
82,0.004721852000000304,0.005707194000000193,0.005060444000000608,0.0045648719999995535
83,0.00464429200000005,0.004406209999999966,0.0046149209999999385,0.004599903999999988
84,0.004789240000000028,0.0054151530000003945,0.004931969999999453,0.004465742999999911
85,0.0045336220000002925,0.004761203000000158,0.004895222000000032,0.004602220999999851
86,0.004696162000000115,0.00486823199999975,0.004737100000000716,0.004382952999999468
87,0.004531722999999488,0.004840501999999525,0.004655973000000202,0.004127401999999947
88,0.004780102999999869,0.005059281999999499,0.005027881000000178,0.004632732000000139
89,0.004724992999999955,0.005163312000000531,0.004616781000000181,0.004585041000000345
90,0.004818099999999603,0.005257053000000234,0.00481084200000037,0.00442549300000028
91,0.004971011999999497,0.005334944000000341,0.004825971999999901,0.004635752000000437
92,0.005075972000000206,0.00481238099999981,0.005118852999999923,0.005068761999999616
93,0.005264891999999577,0.005411263000000055,0.004844601999999476,0.005028761999999354
94,0.005400852000000178,0.00551094299999999,0.005509192999999968,0.0051950319999996
95,0.004973331999999608,0.005581091999999899,0.005444752000000719,0.004880362000000638
96,0.005266763999999924,0.005602492000000403,0.006488140000000087,0.005571293999999227
97,0.005423283999999917,0.005896612999999995,0.006276890999999729,0.00520636200000002
